resort_uuid	location_uuid	role	is_primary	resort_name	location_name
f12cecf9-def8-43d3-b9df-80f93472f16f	0d0a2b6e-3f1f-4a9d-9f5b-1b0f6c2a7d01	BASE	yes	Verbier	Verbier village
532151df-47a0-497b-b168-09f975f7d07d	0d0a2b6e-3f1f-4a9d-9f5b-1b0f6c2a7d06	BASE	yes	Thyon	Thyon 2000
9cf90fc9-46b0-4ce3-bf4c-5dc9cabd2374	0d0a2b6e-3f1f-4a9d-9f5b-1b0f6c2a7d0a	BASE	yes	Silvaplana	Silvaplana
4b0941b3-4293-4343-896a-03cd606bd744	0d0a2b6e-3f1f-4a9d-9f5b-1b0f6c2a7d0b	BASE	yes	Sils-Maria	Sils-Maria
0791db43-d986-42ef-a247-46b0da5b8021	ccd6d058-9909-5af4-8bdb-2c55fc30cdae	TOP	no	Adelboden	Luser
cba3dc70-c1e0-4def-bbd0-cb3e332169f8	e81a739d-02e7-50ed-bd03-75da210e5711	TOP	no	Airolo	Pizzo di Fieud
06684883-d502-574e-a96f-e4fc3402cc38	ba4e13ba-d43a-536d-bafb-8742cad55464	TOP	no	Alt St. Johann - Sellamatt	Hungbüchel
12af26c8-0227-57e9-860f-51ae0d55957c	e62f04d4-2eac-5ad3-aa78-9b57a29ddb6e	TOP	no	Amden-Arvenbüel	Heidenbüel
fe02a2d3-d79b-4098-b6ac-54646f855742	3b5c6d8f-d8fb-5cea-adf5-b068d132c6eb	TOP	no	Andermatt	Gemsstock
15b3a592-7810-526b-983a-5a2b47b78d74	b911163e-af37-5d92-b232-b8de6e6d1d0b	TOP	no	Anzère	Le Baté
32765e7a-1146-466a-9c07-1efbdac7958f	8e3980fc-327a-52f8-ad5e-f2fcd49490eb	TOP	no	Arolla	Mont des Ritses
b636f01d-9ea0-4bc0-b64b-e7cd144faaf7	47c8c0e3-54bf-5858-9880-9c84fc36dc07	TOP	no	Arosa	Weisshorn
cb5977be-952a-463a-84df-a331efafd26a	70f358f7-1938-59aa-a6d6-d824ff2bf1f2	TOP	no	Avers	Guggernüll
7b47ff43-baca-55f4-ab9e-119bb7f31cfe	472bc4cb-a6e7-583b-9e56-012561f56ea0	TOP	no	Axalp ob Brienz	Blasenhubel
ec426d23-8134-5ef9-99a9-f99db1641411	2c181cb8-24f0-5d81-96bf-c819fcd60c6a	TOP	no	Bannalp	Rinderbalm
d23ee1cd-1ec3-4892-9ca8-fb800c323ca9	b33b895f-8b58-5cae-8830-e443a3e49853	TOP	no	Beatenberg	Niederhorn
740a7437-4d07-42c0-b225-b9566ed1ae06	238559e4-9888-59f2-9147-a9be1a35cbb7	TOP	no	Bedretto	Costone
50b1a98d-2258-55c7-990c-ec8388d028e6	61752eb3-19a4-5fdd-8839-fd6714cf6981	TOP	no	Bellwald	Chlis Fülhorn
32cf26e9-55a6-41c6-b0c6-5bf21ffbd066	97b1bc96-2c3e-509c-ad98-98853e592727	TOP	no	Bergün	Chantota
60794e7d-402d-495b-831d-cc878b7c6477	1933b474-f870-5fb3-a503-0ec0f62e675b	TOP	no	Bettmeralp	Bettmergrat
0d1aa0d2-de02-446f-bf0a-cefd87faf7a7	efafb5ee-a73f-5133-8d5a-ae7515e39a55	TOP	no	Bivio	Büel
7a80c9b5-06d2-5a46-b097-caf27bd5bc62	15e3c3cc-6682-56a2-a445-5acf0a2c4393	TOP	no	Blatten-Belalp	Schilthorn
b5d4a4cc-1334-5a97-8859-1e5c9c06a2d8	5cae120c-33a5-508b-b6bc-a16bb31a8e9c	TOP	no	Brigels/Waltensburg/Andiast	Fil
fa06c765-1d1a-59bb-b3e6-ca00fa298b56	43beae26-b9ec-5a32-91ad-709324e13c32	TOP	no	Brunni - Alpthal	Ruchegg
ffdb671a-7911-59fc-96a5-d3b84c6eb325	97e67772-2ac9-5cdc-9e69-6f0bdd2ec303	TOP	no	Brunni - Engelberg	Scheideggstock
88b0556c-2e92-5463-9687-8379241c3770	4acc50f9-7137-55c6-a510-4e6efc7b426a	TOP	no	Carì	Mottarone
763a60e9-caf7-413d-9c0d-d496d0ea040e	f2a78080-0be7-52cf-8111-e75706b4ce55	TOP	no	Champex	Luy Blanche
74e2b3bc-8e84-4396-81ca-108bd09cd774	a0d6d3c7-ed8c-5b55-8d64-a29d45508574	TOP	no	Chandolin	Rothorn
b7eeb4e7-a773-4fe3-b2b7-f6566cfa9e2b	afa6bdb8-b319-5d84-b5b8-608178dc984a	TOP	no	Charmey	Vounetse
