region_id,region_name,slug,centre,boundary
CH-1111,Aigle - Yvorne,ch_1111,"{""lon"": 6.939685, ""lat"": 46.470737}","{""type"":""Polygon"",""coordinates"":[[[6.973525,46.44584],[6.974479,46.437073],[6.992657,46.411368],[6.987545,46.400009],[6.923745,46.397806],[6.819985,46.424796],[6.831382,46.467084],[6.866645,46.502582],[6.874568,46.511414],[6.902695,46.533902],[6.957407,46.547726],[6.984458,46.524401],[7.002258,46.509038],[6.991547,46.499633],[6.978535,46.473273],[6.973525,46.44584]]]}"
CH-1112,Veveyse - Pays-d'Enhaut,ch_1112,"{""lon"": 7.13748, ""lat"": 46.471348}","{""type"":""Polygon"",""coordinates"":[[[7.193405,46.378744],[7.120363,46.392554],[7.110873,46.40028],[7.106151,46.401806],[7.026845,46.390413],[7.0058,46.389867],[6.987545,46.400009],[6.992657,46.411368],[6.974479,46.437073],[6.973525,46.44584],[6.978535,46.473273],[6.991547,46.499633],[7.002258,46.509038],[7.028947,46.49864],[7.080333,46.483979],[7.086186,46.484806],[7.100772,46.488064],[7.123135,46.498885],[7.135043,46.50682],[7.137747,46.510655],[7.140443,46.517387],[7.140908,46.521732],[7.147571,46.527828],[7.235443,46.552999],[7.247014,46.554844],[7.252053,46.551896],[7.26611,46.537022],[7.270563,46.530877],[7.271787,46.522398],[7.271062,46.522759],[7.272126,46.495178],[7.265991,46.466742],[7.263905,46.462172],[7.244942,46.446847],[7.238935,46.444045],[7.208351,46.404648],[7.193405,46.378744]]]}"
CH-1113,Leysin - Villars - Château-d'Oex,ch_1113,"{""lon"": 6.995787, ""lat"": 46.362732}","{""type"":""Polygon"",""coordinates"":[[[6.923745,46.397806],[6.987545,46.400009],[7.0058,46.389867],[7.026845,46.390413],[7.106151,46.401806],[7.110873,46.40028],[7.120363,46.392554],[7.092242,46.354337],[7.07526,46.337633],[7.056535,46.323126],[7.035728,46.309549],[7.020211,46.302133],[6.980393,46.286932],[6.9616,46.280526],[6.919014,46.339183],[6.883934,46.377428],[6.869981,46.385716],[6.819985,46.424796],[6.923745,46.397806]]]}"
CH-1114,Les Ormonts - Diablerets,ch_1114,"{""lon"": 7.076778, ""lat"": 46.247997}","{""type"":""Polygon"",""coordinates"":[[[7.083648,46.183957],[7.086538,46.159191],[7.071406,46.125292],[7.068468,46.122141],[7.052713,46.137002],[7.037967,46.146922],[7.028982,46.179287],[7.034261,46.183399],[7.03362,46.18648],[7.033204,46.187066],[6.98768,46.251035],[6.982892,46.255034],[6.979101,46.257132],[6.9616,46.280526],[6.980393,46.286932],[7.020211,46.302133],[7.035728,46.309549],[7.056535,46.323126],[7.07526,46.337633],[7.092242,46.354337],[7.120363,46.392554],[7.193405,46.378744],[7.206001,46.355589],[7.221345,46.330458],[7.185112,46.299247],[7.184171,46.287081],[7.168849,46.259885],[7.108477,46.212807],[7.103372,46.209997],[7.102934,46.20942],[7.083648,46.183957]]]}"
CH-1121,Gruyère - Moléson,ch_1121,"{""lon"": 7.204585, ""lat"": 46.617755}","{""type"":""Polygon"",""coordinates"":[[[6.984066,46.536481],[6.989639,46.549623],[6.991637,46.551917],[7.001767,46.563544],[7.018927,46.577936],[7.034394,46.585984],[7.054714,46.589071],[7.077184,46.588413],[7.091633,46.589648],[7.107991,46.596242],[7.121684,46.616363],[7.125978,46.634682],[7.135106,46.648441],[7.137207,46.6501],[7.138288,46.650953],[7.150882,46.663081],[7.150922,46.663119],[7.156217,46.668987],[7.15754,46.670453],[7.166996,46.680926],[7.182882,46.693471],[7.184209,46.694519],[7.192623,46.700764],[7.205956,46.708908],[7.212347,46.713679],[7.243958,46.717559],[7.267935,46.714689],[7.307755,46.70991],[7.310114,46.709627],[7.320963,46.708322],[7.343005,46.709979],[7.343641,46.710026],[7.35177,46.707415],[7.362266,46.702615],[7.368927,46.698332],[7.372157,46.69375],[7.374819,46.688011],[7.375395,46.683611],[7.374201,46.67598],[7.371744,46.660263],[7.366997,46.653838],[7.358851,46.649148],[7.353374,46.64736],[7.347333,46.653871],[7.342627,46.655003],[7.329159,46.655212],[7.320259,46.65328],[7.304593,46.642205],[7.303666,46.638785],[7.305093,46.63537],[7.318386,46.603534],[7.341089,46.592139],[7.303585,46.554987],[7.278613,46.543019],[7.26611,46.537022],[7.252053,46.551896],[7.247014,46.554844],[7.235443,46.552999],[7.147571,46.527828],[7.140908,46.521732],[7.140443,46.517387],[7.137747,46.510655],[7.135043,46.50682],[7.123135,46.498885],[7.100772,46.488064],[7.086186,46.484806],[7.080333,46.483979],[7.028947,46.49864],[7.002258,46.509038],[6.984458,46.524401],[6.984066,46.536481]]]}"
CH-1122,Jaun - Abländschen,ch_1122,"{""lon"": 7.126018, ""lat"": 46.668074}","{""type"":""Polygon"",""coordinates"":[[[6.984066,46.536481],[6.984458,46.524401],[6.957407,46.547726],[6.969052,46.565941],[6.968836,46.575964],[6.951094,46.596894],[6.964283,46.623777],[7.000924,46.647886],[7.005568,46.651219],[7.045194,46.679631],[7.103715,46.721511],[7.106245,46.726677],[7.103438,46.729263],[7.081965,46.742018],[7.080637,46.745371],[7.088047,46.755519],[7.109344,46.775888],[7.117299,46.780415],[7.131159,46.78556],[7.191813,46.780527],[7.198317,46.770074],[7.217475,46.758855],[7.243824,46.745446],[7.24741,46.743846],[7.252288,46.743083],[7.297046,46.726901],[7.343641,46.710026],[7.343005,46.709979],[7.320963,46.708322],[7.310114,46.709627],[7.307755,46.70991],[7.267935,46.714689],[7.243958,46.717559],[7.212347,46.713679],[7.205956,46.708908],[7.192623,46.700764],[7.184209,46.694519],[7.182882,46.693471],[7.166996,46.680926],[7.15754,46.670453],[7.156217,46.668987],[7.150922,46.663119],[7.150882,46.663081],[7.138288,46.650953],[7.137207,46.6501],[7.135106,46.648441],[7.125978,46.634682],[7.121684,46.616363],[7.107991,46.596242],[7.091633,46.589648],[7.077184,46.588413],[7.054714,46.589071],[7.034394,46.585984],[7.018927,46.577936],[7.001767,46.563544],[6.991637,46.551917],[6.989639,46.549623],[6.984066,46.536481]]]}"
CH-1211,Thun - Interlaken,ch_1211,"{""lon"": 7.464482, ""lat"": 46.799439}","{""type"":""Polygon"",""coordinates"":[[[7.287148,46.767104],[7.295321,46.78352],[7.296791,46.787954],[7.296977,46.792972],[7.279038,46.793401],[7.276545,46.795515],[7.272862,46.802824],[7.303877,46.840418],[7.306839,46.8429],[7.327896,46.855386],[7.334966,46.858785],[7.36223,46.864765],[7.390524,46.868186],[7.437299,46.895083],[7.452559,46.903849],[7.457268,46.911521],[7.470932,46.926243],[7.474982,46.927985],[7.483162,46.929146],[7.495473,46.929014],[7.507105,46.927836],[7.600118,46.894857],[7.610825,46.892158],[7.612181,46.868671],[7.610481,46.839765],[7.608147,46.836522],[7.593926,46.825384],[7.587732,46.821892],[7.581465,46.820631],[7.5765,46.816795],[7.580141,46.810066],[7.5832,46.804411],[7.628525,46.725981],[7.634954,46.72199],[7.638812,46.719594],[7.690341,46.687834],[7.690156,46.663757],[7.632184,46.691334],[7.623847,46.691234],[7.590116,46.704434],[7.571421,46.711743],[7.521863,46.732839],[7.51315,46.733921],[7.45667,46.734949],[7.441204,46.735187],[7.418501,46.735532],[7.40286,46.731438],[7.36523,46.719938],[7.343641,46.710026],[7.297046,46.726901],[7.252288,46.743083],[7.263055,46.745907],[7.287148,46.767104]]]}"
CH-1212,Brienz - Brünig,ch_1212,"{""lon"": 7.771031, ""lat"": 46.867516}","{""type"":""Polygon"",""coordinates"":[[[7.634954,46.72199],[7.628525,46.725981],[7.5832,46.804411],[7.580141,46.810066],[7.5765,46.816795],[7.581465,46.820631],[7.587732,46.821892],[7.593926,46.825384],[7.608147,46.836522],[7.610481,46.839765],[7.612181,46.868671],[7.610825,46.892158],[7.625636,46.905122],[7.630307,46.907694],[7.700564,46.938965],[7.700992,46.939091],[7.71002,46.941763],[7.718591,46.940137],[7.723695,46.937941],[7.728028,46.937946],[7.736301,46.940669],[7.75355,46.948093],[7.770952,46.955579],[7.79279,46.979227],[7.794995,46.982714],[7.858723,46.998625],[7.900737,47.005734],[7.946462,47.006186],[7.951521,47.006193],[7.954478,47.004019],[7.951491,46.981842],[7.943557,46.966908],[7.93353,46.962958],[7.921329,46.946359],[7.91527,46.935099],[7.954043,46.904463],[7.967311,46.895105],[7.975642,46.888196],[7.986177,46.855562],[7.983958,46.852159],[7.954794,46.83062],[7.929577,46.835871],[7.906709,46.83427],[7.891722,46.828692],[7.832503,46.801617],[7.797449,46.785568],[7.773721,46.770336],[7.771803,46.768916],[7.752056,46.754288],[7.701639,46.712097],[7.701497,46.71196],[7.690394,46.701137],[7.690341,46.687834],[7.638812,46.719594],[7.634954,46.72199]]]}"
CH-1213,Hohgant,ch_1213,"{""lon"": 7.842058, ""lat"": 46.732596}","{""type"":""Polygon"",""coordinates"":[[[7.818192,46.660802],[7.771287,46.655551],[7.75871,46.655137],[7.754794,46.655823],[7.746437,46.65861],[7.725403,46.665621],[7.707188,46.671687],[7.703121,46.67507],[7.694812,46.683369],[7.690341,46.687834],[7.690394,46.701137],[7.701497,46.71196],[7.701639,46.712097],[7.752056,46.754288],[7.771803,46.768916],[7.773721,46.770336],[7.797449,46.785568],[7.832503,46.801617],[7.891722,46.828692],[7.906709,46.83427],[7.929577,46.835871],[7.954794,46.83062],[7.978434,46.817229],[8.003071,46.817927],[8.0065,46.816911],[8.017413,46.806598],[8.024067,46.792999],[8.025066,46.788778],[7.996311,46.781851],[7.984284,46.775116],[7.921737,46.740044],[7.902778,46.729398],[7.876603,46.714686],[7.863075,46.705244],[7.86116,46.703754],[7.855343,46.699227],[7.840837,46.685636],[7.826674,46.666811],[7.825899,46.665162],[7.822783,46.663373],[7.818192,46.660802]]]}"
CH-1221,Grindelwald,ch_1221,"{""lon"": 7.447685, ""lat"": 46.666633}","{""type"":""Polygon"",""coordinates"":[[[7.349193,46.597057],[7.341089,46.592139],[7.318386,46.603534],[7.305093,46.63537],[7.303666,46.638785],[7.304593,46.642205],[7.320259,46.65328],[7.329159,46.655212],[7.342627,46.655003],[7.347333,46.653871],[7.353374,46.64736],[7.358851,46.649148],[7.366997,46.653838],[7.371744,46.660263],[7.374201,46.67598],[7.375395,46.683611],[7.374819,46.688011],[7.372157,46.69375],[7.368927,46.698332],[7.362266,46.702615],[7.35177,46.707415],[7.343641,46.710026],[7.36523,46.719938],[7.40286,46.731438],[7.418501,46.735532],[7.441204,46.735187],[7.45667,46.734949],[7.51315,46.733921],[7.521863,46.732839],[7.571421,46.711743],[7.590116,46.704434],[7.623847,46.691234],[7.632184,46.691334],[7.64038,46.683087],[7.649099,46.671031],[7.652655,46.66235],[7.653663,46.654121],[7.652742,46.647084],[7.637974,46.633805],[7.619331,46.628304],[7.588852,46.646546],[7.548981,46.644778],[7.535737,46.640782],[7.492662,46.627769],[7.465735,46.61879],[7.444154,46.608882],[7.385119,46.614631],[7.349193,46.597057]]]}"
